in s,C1 in V,C2 in V
-1.14912E-01,6.668711E+00,8.546055E+00
-1.14912E-01,6.854258E+00,8.731602E+00
-1.14888E-01,6.678477E+00,8.555820E+00
-1.14888E-01,6.854258E+00,8.731602E+00
-1.14864E-01,6.678477E+00,8.555820E+00
-1.14864E-01,6.834727E+00,8.741367E+00
-1.14840E-01,6.678477E+00,8.555820E+00
-1.14840E-01,6.834727E+00,8.760898E+00
-1.14816E-01,6.678477E+00,8.555820E+00
-1.14816E-01,6.844492E+00,8.760898E+00
-1.14792E-01,6.668711E+00,8.575352E+00
-1.14792E-01,6.844492E+00,8.760898E+00
-1.14768E-01,6.668711E+00,8.585117E+00
-1.14768E-01,6.834727E+00,8.760898E+00
-1.14744E-01,6.668711E+00,8.594883E+00
-1.14744E-01,6.834727E+00,8.760898E+00
-1.14720E-01,6.668711E+00,8.594883E+00
-1.14720E-01,6.834727E+00,8.770664E+00
-1.14696E-01,6.668711E+00,8.594883E+00
-1.14696E-01,6.824961E+00,8.770664E+00
-1.14672E-01,6.678477E+00,8.594883E+00
-1.14672E-01,6.834727E+00,8.770664E+00
-1.14648E-01,6.678477E+00,8.594883E+00
-1.14648E-01,6.834727E+00,8.790195E+00
-1.14624E-01,6.678477E+00,8.624180E+00
-1.14624E-01,6.834727E+00,8.790195E+00
-1.14600E-01,6.678477E+00,8.633945E+00
-1.14600E-01,6.834727E+00,8.790195E+00
-1.14576E-01,6.678477E+00,8.633945E+00
-1.14576E-01,6.834727E+00,8.799961E+00
-1.14552E-01,6.678477E+00,8.633945E+00
-1.14552E-01,6.834727E+00,8.799961E+00
-1.14528E-01,6.678477E+00,8.633945E+00
-1.14528E-01,6.824961E+00,8.799961E+00
-1.14504E-01,6.678477E+00,8.643711E+00
-1.14504E-01,6.834727E+00,8.799961E+00
-1.14480E-01,6.658945E+00,8.643711E+00
-1.14480E-01,6.834727E+00,8.799961E+00
-1.14456E-01,6.658945E+00,8.643711E+00
-1.14456E-01,6.834727E+00,8.799961E+00
-1.14432E-01,6.678477E+00,8.663242E+00
-1.14432E-01,6.834727E+00,8.809727E+00
-1.14408E-01,6.668711E+00,8.663242E+00
-1.14408E-01,6.824961E+00,8.829258E+00
-1.14384E-01,6.668711E+00,8.673008E+00
-1.14384E-01,6.824961E+00,8.829258E+00
-1.14360E-01,6.678477E+00,8.673008E+00
-1.14360E-01,6.824961E+00,8.829258E+00
-1.14336E-01,6.678477E+00,8.673008E+00
-1.14336E-01,6.824961E+00,8.829258E+00
-1.14312E-01,6.678477E+00,8.682773E+00
-1.14312E-01,6.824961E+00,8.839023E+00
-1.14288E-01,6.678477E+00,8.682773E+00
-1.14288E-01,6.824961E+00,8.839023E+00
-1.14264E-01,6.678477E+00,8.692539E+00
-1.14264E-01,6.815195E+00,8.848789E+00
-1.14240E-01,6.668711E+00,8.702305E+00
-1.14240E-01,6.815195E+00,8.848789E+00
-1.14216E-01,6.668711E+00,8.702305E+00
-1.14216E-01,6.824961E+00,8.839023E+00
-1.14192E-01,6.668711E+00,8.702305E+00
-1.14192E-01,6.824961E+00,8.858555E+00
-1.14168E-01,6.678477E+00,8.702305E+00
-1.14168E-01,6.824961E+00,8.858555E+00
-1.14144E-01,6.678477E+00,8.712070E+00
-1.14144E-01,6.824961E+00,8.868320E+00
-1.14120E-01,6.678477E+00,8.721836E+00
-1.14120E-01,6.824961E+00,8.868320E+00
-1.14096E-01,6.678477E+00,8.721836E+00
-1.14096E-01,6.824961E+00,8.868320E+00
-1.14072E-01,6.678477E+00,8.721836E+00
-1.14072E-01,6.815195E+00,8.868320E+00
-1.14048E-01,6.678477E+00,8.721836E+00
-1.14048E-01,6.834727E+00,8.868320E+00
-1.14024E-01,6.678477E+00,8.721836E+00
-1.14024E-01,6.834727E+00,8.878086E+00
-1.14000E-01,6.678477E+00,8.741367E+00
-1.14000E-01,6.824961E+00,8.878086E+00
-1.13976E-01,6.678477E+00,8.741367E+00
-1.13976E-01,6.824961E+00,8.887852E+00
-1.13952E-01,6.678477E+00,8.741367E+00
-1.13952E-01,6.824961E+00,8.887852E+00
-1.13928E-01,6.678477E+00,8.741367E+00
-1.13928E-01,6.824961E+00,8.887852E+00
-1.13904E-01,6.668711E+00,8.741367E+00
-1.13904E-01,6.834727E+00,8.887852E+00
-1.13880E-01,6.668711E+00,8.741367E+00
-1.13880E-01,6.844492E+00,8.897617E+00
-1.13856E-01,6.668711E+00,8.741367E+00
-1.13856E-01,6.844492E+00,8.907383E+00
-1.13832E-01,6.678477E+00,8.741367E+00
-1.13832E-01,6.824961E+00,8.907383E+00
-1.13808E-01,6.678477E+00,8.741367E+00
-1.13808E-01,6.824961E+00,8.907383E+00
-1.13784E-01,6.678477E+00,8.751133E+00
-1.13784E-01,6.815195E+00,8.897617E+00
-1.13760E-01,6.678477E+00,8.751133E+00
-1.13760E-01,6.815195E+00,8.907383E+00
-1.13736E-01,6.678477E+00,8.760898E+00
-1.13736E-01,6.834727E+00,8.907383E+00
-1.13712E-01,6.678477E+00,8.760898E+00
-1.13712E-01,6.834727E+00,8.907383E+00
-1.13688E-01,6.678477E+00,8.770664E+00
-1.13688E-01,6.824961E+00,8.907383E+00
-1.13664E-01,6.678477E+00,8.770664E+00
-1.13664E-01,6.834727E+00,8.917148E+00
-1.13640E-01,6.678477E+00,8.770664E+00
-1.13640E-01,6.834727E+00,8.917148E+00
-1.13616E-01,6.678477E+00,8.770664E+00
-1.13616E-01,6.824961E+00,8.907383E+00
-1.13592E-01,6.678477E+00,8.780430E+00
-1.13592E-01,6.824961E+00,8.907383E+00
-1.13568E-01,6.678477E+00,8.770664E+00
-1.13568E-01,6.824961E+00,8.926914E+00
-1.13544E-01,6.678477E+00,8.770664E+00
-1.13544E-01,6.815195E+00,8.936680E+00
-1.13520E-01,6.668711E+00,8.780430E+00
-1.13520E-01,6.834727E+00,8.936680E+00
-1.13496E-01,6.668711E+00,8.780430E+00
-1.13496E-01,6.834727E+00,8.917148E+00
-1.13472E-01,6.678477E+00,8.780430E+00
-1.13472E-01,6.824961E+00,8.926914E+00
-1.13448E-01,6.668711E+00,8.780430E+00
-1.13448E-01,6.824961E+00,8.926914E+00
-1.13424E-01,6.668711E+00,8.780430E+00
-1.13424E-01,6.824961E+00,8.926914E+00
-1.13400E-01,6.678477E+00,8.780430E+00
-1.13400E-01,6.824961E+00,8.926914E+00
-1.13376E-01,6.668711E+00,8.780430E+00
-1.13376E-01,6.815195E+00,8.926914E+00
-1.13352E-01,6.668711E+00,8.780430E+00
-1.13352E-01,6.815195E+00,8.926914E+00
